page_title,date,page_views,internal_links_count,revisions_count,page_size,time_since_creation
"""Harvard, Nebraska""",20230630,10,106,180,9789,8059
"""Central School (Peoria, Arizona)""",20230715,5,82,17,3403,1113
"""Starz (Canadian TV channel)""",20230125,32,390,309,21267,6349
"""Ekaterina Likoshin""",20231219,6,4,37,1196,4829
"""Danubyu""",20230530,10,90,29,1926,6151
"""Andrea Lalli""",20230920,5,223,65,7986,5198
"""John Ferguson (priest)""",20231210,4,36,29,2461,5046
"""Euxoa cicatricosa""",20230214,3,38,16,1710,5459
"""Lloyd G. Jackson II""",20230503,5,16,9,1891,1120
"""Pertoltice pod Ralskem""",20231030,2,76,39,3471,5600
"""Margaroniini""",20230614,4,107,24,11680,1797
"""Alaska Maritime National Wildlife Refuge""",20230605,21,208,120,7909,7278
"""Falsomesosella glacilior""",20230207,1,13,10,562,2899
"""Federal District (Brazil)""",20230324,302,387,778,40713,8039
"""Kim Chol-gwang""",20231003,3,24,20,4482,2237
"""Protection (1929 film)""",20230910,3,14,20,2816,2397
"""Retinalophototroph""",20231028,1,22,38,9436,6408
"""Legal assessments of the Gaza flotilla raid""",20230119,38,463,361,57978,5277
"""Gillnetting""",20230718,235,257,388,34793,7359
"""Yadaneru""",20230624,3,255,19,3723,2503
"""Silly People""",20230801,1,4,3,270,3878
"""Imran Rasul""",20230219,12,34,40,7687,1758
"""Mamelodi""",20230123,123,146,397,13037,7237
"""1981–82 Arab Club Champions Cup""",20231113,5,196,145,12861,5072
"""Joseph Delaunay""",20230615,5,10,35,1401,5907
"""Nicholas Couris""",20230804,3,9,29,2916,4197
"""Elizabeth Carrington Pope""",20230930,1,21,30,4740,1215
"""Justen Glad""",20231010,16,66,155,8085,3507
"""Jadwiga Dobrzyńska""",20230129,5,4,11,1795,1573
"""City of Eternal Spring""",20230129,19,13,23,420,6080
"""Moock""",20230417,1,6,5,284,4164
"""Moose's Tooth Pub & Pizzeria""",20230303,19,18,45,6048,3353
"""Apuleius""",20231223,191,428,562,21663,8477
"""Hurricane Noel""",20231016,33,288,860,67779,6227
"""Longpont Abbey""",20231112,3,12,36,2465,6099
"""Waimarino""",20231020,2,7,17,539,4017
"""Yury Shvytkin""",20231101,7,499,19,4069,972
"""Ludwig Troche""",20230510,5,2,5,1644,1534
