page_title,page_views,back_links_count,page_size (bytes)
"""Saker falcon""",159,31802,19519
"""Earth""",15389,24832,223342
"""Aviary""",239,3691,14228
"""Wallachia""",1926,3100,69085
"""List of acts of the Parliament of Scotland from 1425""",48,2619,19218
"""United States Holocaust Memorial Museum""",261,2171,53067
"""Uncertainty principle""",2492,1607,141773
"""Feminist art movement""",55,1556,35232
"""Sverdlovsk Oblast""",258,1524,29102
"""Marikina""",549,1373,95082
"""Distance line""",34,1275,33367
"""Croydon, Kempton Park""",19,1271,3070
"""South Sea Company""",357,1052,71962
"""Uttarpara""",59,1009,17149
"""Northern Sea Route""",204,911,41778
"""Lindsay Whalen""",134,904,41475
"""DIDO1""",5,837,6803
"""List of Telugu films of 2015""",76,831,39237
"""National Highway 67 (India)""",56,814,5072
"""German submarine U-584""",14,812,11301
"""WWE Superstars""",93,811,8539
"""List of minor planets: 504001–505000""",3,796,188802
"""Murshid""",123,779,2957
"""Iron Bowl""",1035,778,58691
"""Central African Republic national football team""",539,711,49379
"""Ottoman Tripolitania""",434,647,16963
"""Grand Forks Air Defense Sector""",11,630,5060
"""1889 United States House of Representatives elections""",10,629,18592
"""2016 Wimbledon Championships – Women's doubles""",13,616,30881
"""Gauré""",9,599,1821
"""Tesse""",4,595,2530
"""Bishop Lavis""",21,590,4401
"""Irish martial arts""",65,580,5588
"""Circle of Life""",508,579,24513
"""Lognes""",40,575,5358
"""Puppet on a String (Sandie Shaw song)""",96,570,24387
"""Indian Telly Awards""",60,565,9507
"""Amur Khabarovsk""",61,561,13409
"""NGC 812""",4,559,4378
"""Tauriac, Gironde""",1,544,1802
"""Replication (computing)""",100,539,24577
"""Political abuse of psychiatry in the Soviet Union""",174,535,267182
"""Nazyan District""",6,533,1494
"""Swarthmore, Pennsylvania""",103,527,18398
"""Transplant rejection""",207,521,29940
"""Vierzon""",42,504,7713
"""List of programs broadcast by TV3 in Norway""",8,503,64334
"""Lego DC Comics Super Heroes: Aquaman – Rage of Atlantis""",25,502,11463
"""Last Supper Cave""",8,500,1720
"""Richard Seddon""",79,499,57555
"""Mac OS X Leopard""",333,498,56016
"""Main Line (Long Island Rail Road)""",83,493,124331
"""1968 St. Louis Cardinals season""",16,489,15931
"""Fuzhou Changle International Airport""",73,488,41765
"""Chmod""",923,484,19612
"""Haroa Assembly constituency""",12,480,16965
"""Latrine""",380,479,8302
"""Cyclic nucleotide phosphodiesterase""",9,477,7268
"""Shree Venkatesh Films""",159,477,35293
"""Miss Grand Slovakia""",3,476,11552
"""Tajan, Hautes-Pyrénées""",5,476,1636
"""Comparative navy enlisted ranks of Post-Soviet states""",10,474,1994
"""Lyssa""",177,474,7026
"""ISO 8691""",61,469,779
"""BBC Arabic""",59,468,9227
"""Hiawatha National Forest""",63,457,9556
"""APG III system""",33,446,48548
"""Onjon""",2,441,1984
"""Moscow Domodedovo Airport""",270,436,47600
"""Graeme Sharp""",83,436,14293
"""Serrigny""",2,430,1218
"""List of Russia–United States summits""",40,420,6416
"""2008 in India""",26,419,23295
"""High School Republican National Federation""",23,416,7313
"""Deh Firuzvand-e Pain""",2,416,1990
"""Neuropathic pain""",472,411,60129
"""Federico Villarreal National University""",15,407,7398
"""List of populated places in Nigeria""",83,405,2949
"""Official Progressive Albums Chart""",4,404,32916
"""List of British innovations and discoveries""",270,402,139275
"""Annanur railway station""",10,400,8599
"""Oakey, Queensland""",35,398,42632
"""Mark Sweeney""",43,397,12048
"""Mitsubishi G3M""",204,391,19512
"""Fat's Chicken and Waffles""",13,389,27535
"""The Strat""",581,389,174313
"""Nikkita Oliver""",31,388,18237
"""2019–20 Bahraini Premier League""",3,387,14366
"""Beaulieu-sur-Mer""",94,384,9701
"""Operation Tvigi 94""",24,383,2611
"""Hawkhead railway station""",8,382,4709
"""Mira B""",29,381,6594
"""Parliament of Eswatini""",28,372,2425
"""Crosmières""",2,369,1919
"""Dick's Picks Volume 20""",15,368,8171
"""Augustus Drum""",7,361,2446
"""Heidi Greni""",5,360,1379
"""2001 Illinois Fighting Illini football team""",35,359,12953
"""Rugby railway station""",38,357,35913
"""Airbus A400M Atlas""",1544,353,96932
"""Luke Sewell""",11,352,27992
"""Timeline of Scottish football""",24,346,168404
"""Romashevsky Pogost""",1,344,2503
"""2018 Supercupa României""",4,338,10889
"""Charles A. Buckley""",14,338,10983
"""Andover Theological Seminary""",38,336,13406
"""1998 Calderdale Metropolitan Borough Council election""",1,335,1896
"""List of Major League Baseball on ESPN Radio broadcasters""",15,329,28191
"""German occupation of Estonia during World War II""",71,329,41199
"""Lost Frequencies""",403,323,10998
"""Silver Springs State Park""",40,323,9946
"""Tony Hsieh""",982,318,27588
"""Raghuvaran""",893,316,21051
"""Gouni-Peulh""",3,313,3188
"""Daocheng County""",19,310,14304
"""Municipality of Cerknica""",6,309,5680
"""Enannatum I""",19,305,5772
"""Patrioticheskaya Pesnya""",135,301,20458
"""Gary Nicholson (singer)""",22,296,13450
"""2024 Emilia-Romagna Open""",731,295,7440
"""Stefan Dragutin""",37,291,29769
"""2024 Liga 1 (Peru)""",69,288,77954
"""Debus (crater)""",4,288,4254
"""11th (Northern) Division""",14,286,17940
"""1892 United States presidential election in North Dakota""",15,284,25125
"""Archery at the 1996 Summer Olympics""",15,284,7533
"""List of British films of 2013""",33,283,139706
"""List of countries by wheat exports""",105,282,1525
"""Beaten coffee""",37,281,3743
"""Cham Dogham""",3,281,1829
"""Vallée du Bandama District""",11,280,3988
"""Friedrichshafen FF.33""",22,280,8918
"""Coach""",95,280,2638
"""Perry T. Jones""",5,279,3427
"""Renin inhibitor""",45,278,46383
"""Marcilly-en-Gault""",6,277,2037
"""Dietlibc""",31,277,2393
"""Freedom of religion in Myanmar""",44,276,25954
"""Ren (philosophy)""",208,276,10064
"""École polytechnique universitaire de Sorbonne Université""",7,274,2825
"""Pensacola metropolitan area""",55,273,16670
"""Gouzon""",9,273,2827
"""Mersin Interfaith Cemetery""",12,272,8288
"""Warren Upham""",17,269,4761
"""Otisfield, Maine""",13,269,12064
"""William Queen""",32,266,7277
"""Centre for Addiction and Mental Health""",80,266,49780
"""1996 America's Red Clay Court Championships""",3,264,2900
"""Erovnuli Liga 2""",45,263,22200
"""Fort Douglas""",49,263,17949
"""Jüri Vips""",190,262,74214
"""A Woman Called Moses""",36,261,3913
"""Tamires""",16,261,18217
"""Truganini""",217,261,45150
"""Somano""",4,259,4295
"""Brignac, Morbihan""",2,258,1950
"""Tertiapatus""",11,257,1991
"""Paial""",6,256,4940
"""2004–05 Turkish Cup""",9,255,9904
"""Scouting for All""",11,252,9558
"""Ganache""",553,252,7891
"""France men's national under-18 ice hockey team""",9,251,4075
"""Thore A. Nistad""",6,251,892
"""Sayer (Ibb)""",1,251,2961
"""Stokenham""",7,250,5410
"""Official PlayStation Magazine (Ireland)""",5,250,2193
"""Walter Rudin""",98,247,13511
"""1925–26 Divizia A""",3,245,4633
"""1673 in England""",5,245,5524
"""Controversies surrounding the Legion of Christ""",24,245,18257
"""The Marriage of Heaven and Hell""",363,245,10774
"""Godfrey Mgimwa""",6,243,3912
"""Property Week""",21,240,5098
"""Manicaria""",19,238,19004
"""Mirza Basheer-ud-Din Mahmood Ahmad""",122,234,51003
"""Ain Aata""",17,234,10281
"""Edward J. Kay""",8,233,7601
"""Zsurk""",6,232,4012
"""Madvar, Kerman""",2,231,1865
"""Dead checking""",77,230,2605
"""2018 Maltese Super Cup""",5,229,6974
"""Barracuda (song)""",372,228,15544
"""East Timor at the 2010 Summer Youth Olympics""",3,227,3145
"""Karen Strassman""",203,226,74410
"""Battle of Lyncestis""",27,225,11002
"""Palestine–Vietnam relations""",100,224,4621
"""Saint-Cyr-sur-le-Rhône""",5,224,1629
"""Fan-gating""",23,222,2543
"""2007–08 EIHL season""",2,221,11306
"""Rugby union in Luxembourg""",9,219,4875
"""Wat Khung Taphao""",7,219,7375
"""The Gorge Amphitheatre""",124,218,14108
"""1986 Kansas City Chiefs season""",36,218,54210
"""AGM-159 JASSM""",23,217,1180
"""Darvel and Strathaven Railway""",8,217,2058
"""List of flag bearers for the Democratic Republic of the Congo at the Olympics""",3,217,4147
"""Salillas""",3,216,1762
"""Maria Manuel Leitão Marques""",5,216,4927
"""Mauritius at the 2019 World Athletics Championships""",3,216,1527
"""Guinea at the 2011 World Championships in Athletics""",1,215,3420
"""Altybaysor""",7,215,2761
"""Upper Hanover Township, Pennsylvania""",10,214,17601
"""Polycentric law""",37,214,6895
"""2016 Abierto Mexicano Telcel – Women's singles""",7,214,17703
"""Pavement performance modeling""",20,214,8315
"""Fiddler crab""",319,213,36350
"""Athletics at the 1956 Summer Olympics – Women's 4 × 100 metres relay""",9,213,4338
"""Gustav Hedenvind-Eriksson""",3,211,2516
"""Montenegro at the 2023 World Aquatics Championships""",6,210,4413
"""Artephius""",25,210,4000
"""LNER Thompson Class A2/3""",0,209,9722
"""2014 Waratah Cup""",3,209,17763
"""IPSC Nordic Mini Rifle Championship""",3,209,2212
"""Il Colle, Gaiole in Chianti""",7,209,1780
"""1976 NCAA Division I men's ice hockey tournament""",12,209,13341
"""2023 Antalya Challenger""",4,208,2566
"""1991 Junior World Acrobatic Gymnastics Championships""",2,207,3737
"""Chinese restaurant process""",94,207,24826
"""Dogue Creek""",1,205,2300
"""Colony (short story)""",12,205,2460
"""Chinese American Museum of Chicago""",11,205,7213
"""Wellington Management Company""",199,202,11171
"""Koungoba""",1,202,4069
"""Jérôme Ferrari""",14,201,4418
"""Parkhouse, Glasgow G22""",10,201,9090
"""Secretariat of the 12th Congress of the Russian Communist Party (Bolsheviks)""",6,200,2995
"""Shawn Abner""",88,199,11282
"""Avdella""",6,198,7525
"""Minesweeping Division (Royal Navy)""",1,197,3421
"""Tutaki""",1,197,5855
"""Buick Roadmaster""",341,194,55835
"""Manie Libbok""",325,193,20119
"""2018 Baylor Bears football team""",40,193,15998
"""Flavonols""",66,193,9148
"""Vertente do Lério""",5,193,6607
"""Micronesia–European Union relations""",10,192,4431
"""Scylla serrata""",289,192,5805
"""Security Service Federal Credit Union""",44,191,4268
"""Sri Lankan cricket team in New Zealand in 1994–95""",16,191,7785
"""2015–16 North Dakota Fighting Hawks men's ice hockey season""",11,190,44894
"""Demonware""",77,189,4389
"""Father of the Bride (franchise)""",171,188,34646
"""Obukhovo, Noginsky District, Moscow Oblast""",11,188,6635
"""Tomomi Inada""",26,184,29739
"""Larry Ball""",18,183,3314
"""Touring Band 2000""",7,182,8887
"""Grand Hotel (Nuwara Eliya)""",36,181,8447
"""2018 Denver Broncos season""",86,181,171975
"""1977 Kansas Jayhawks football team""",11,180,5641
"""Brotherhood of the Cross and Star""",63,180,5971
"""Roman-Dutch law""",65,180,9913
"""Simmons Bedding Company""",113,179,15654
"""Bangkong""",10,179,5852
"""Bundesstraße 10""",19,178,5207
"""Fort Harrison State Park""",20,177,10171
"""Karis""",21,177,5338
"""Gelibolu War Museum""",2,176,4319
"""Mufulira""",41,176,14044
"""Sergey Lagodinsky""",13,176,8695
"""Kassaro""",9,176,4955
"""List of actors with Hollywood Walk of Fame motion picture stars""",157,175,107678
"""Indira Gandhi Co-operative Hospital""",9,175,3043
"""Sun Odyssey 469""",6,174,12732
"""Lamb shift""",193,174,13986
"""Squadra Scappatella""",2,173,5755
"""Lil' Cease""",234,173,11041
"""Sputnik 3""",89,172,13149
"""Larkana cricket team""",113,171,1621
"""We Remain""",43,169,20807
"""Handleyomys fuscatus""",3,169,2023
"""Starry Sky""",42,168,49616
"""2023 Asian Artistic Gymnastics Championships""",21,168,35278
"""Fanny Durack""",23,168,10329
"""Yusofabad, Kurdistan""",2,168,6397
"""Forncett Meadows""",5,167,2709
"""Het Houten Stadion""",102,166,4163
"""Leah Howell""",6,166,3685
"""Love Will Turn You Around (song)""",47,164,4570
"""Electoral district of Northern Territory""",3,164,3559
"""1950 Ohio Bobcats football team""",3,162,6402
"""David Toro""",17,162,10030
"""Universiti Sultan Azlan Shah""",3,162,4716
"""Alappuzha Assembly constituency""",21,162,10609
"""Little Satilla River (Atlantic Ocean)""",9,161,2426
"""COPPPAL""",80,161,9202
"""Shotts Gasworks Park Greyhound Track""",2,160,1770
"""List of University of Pittsburgh faculty""",15,159,27536
"""S4 (Munich)""",12,159,9004
"""Taliyah Brooks""",2,159,5836
"""Nusrat Imrose Tisha""",262,158,53535
"""Moresby Junction Halt railway station""",7,158,15310
"""List of international goals scored by Sadio Mané""",37,157,19440
"""Laulepa""",2,156,1705
"""Memphrémagog Regional County Municipality""",12,156,10775
"""2017 European Athletics Indoor Championships – Men's shot put""",5,156,6745
"""1974 UCLA Bruins football team""",7,155,7751
"""Susan La Flesche Picotte""",186,155,37295
"""Operación Puerto doping case""",43,154,31741
"""Klebsiella""",451,154,16940
"""Millwall tube station""",10,153,2827
"""University of Pennsylvania School of Nursing""",22,153,11751
"""John Wilson Croker""",18,153,23098
"""Bachelor tax""",88,153,28331
"""Mexico City Metro overpass collapse""",91,153,150046
"""Black MIDI""",120,152,12062
"""St Mary's Catholic School, Newcastle upon Tyne""",18,152,6045
"""Silver carbonate""",69,151,9291
"""1929–30 Scottish Division Two""",3,151,3688
"""1912 in Norway""",3,151,10227
"""Barlby High School""",6,151,3355
"""Rich Ellerson""",15,150,21025
"""Gasimushaghi carpets""",7,150,6275
"""Nova União (mixed martial arts)""",42,150,7463
"""John Holloway (Royal Navy officer)""",11,149,13696
"""Tony Award for Best Stage Technician""",8,148,4401
"""Mugihito""",42,148,44789
"""Elisabetta, regina d'Inghilterra""",8,147,10898
"""Franconia, Virginia""",35,147,17659
"""2013 Victorian Premier League""",4,147,11824
"""Easterlin paradox""",105,147,15273
"""Inspired Talks""",9,146,6834
"""Kinglake, Victoria""",47,146,13419
"""Reformed confessions of faith""",37,145,16572
"""Okny settlement hromada""",80,144,5709
"""Purple Medley""",18,144,7546
"""The Prague Post""",6,143,28811
"""Dar Moulay Ali""",4,142,4132
"""Quezon City's 4th congressional district""",38,142,13306
"""Liberty Place""",122,142,73715
"""Listen to Me (film)""",129,141,10604
"""Maskis Laulja""",27,141,51186
"""Markleysburg, Pennsylvania""",3,141,8764
"""Doc Films""",11,140,4573
